Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:07,SPEAKER 2, We're live in Solford for a TV first. It's Boris Johnson versus Jeremy Corbyn.
0 days 00:00:07,0 days 00:00:14,SPEAKER 1, So the first TV debate of the 2019 General Election has just finished. So who won?
0 days 00:00:14,0 days 00:00:20,SPEAKER 1," Well, the answer is nobody particularly. The whole event had the feel of a zero-sum game to it."
0 days 00:00:20,0 days 00:00:25,SPEAKER 1, Neither candidate to be the UK's next Prime Minister scored any particular point
0 days 00:00:25,0 days 00:00:32,SPEAKER 1, or made headway in their campaigns. Both brought out generic soundbites we've heard many times before.
0 days 00:00:32,0 days 00:00:46,SPEAKER 1, They didn't engage in any proper debate about policy or any arguments that moved the campaign forward.
0 days 00:00:47,0 days 00:00:58,SPEAKER 1, The first half of the debate hosted on ITV on Tuesday evening was dominated by Brexit.
0 days 00:00:58,0 days 00:01:05,SPEAKER 1," That was much more comfortable territory for Boris Johnson, who has his clear slogan of getting Brexit done by January the 31st"
0 days 00:01:05,0 days 00:01:11,SPEAKER 1, before moving on to other domestic priorities. He managed to win a pause from the crowd with his message there
0 days 00:01:11,0 days 00:01:23,SPEAKER 1, and his attacks on his rival who still hasn't said how he wants Brexit to be resolved.
0 days 00:01:23,0 days 00:01:29,SPEAKER 1, Jeremy Corbyn's policy is to have another referendum and let the British people decide that they want to stay in the EU
0 days 00:01:29,0 days 00:01:40,SPEAKER 1, or leave with his deal and he was attacked repeatedly by Boris Johnson for that matter.
0 days 00:01:41,0 days 00:01:46,SPEAKER 1," After the break, things moved on to the NHS which is more comfortable territory for the Labour leader"
0 days 00:01:46,0 days 00:01:54,SPEAKER 1," and yes, he did manage to get some good point scored about the privatisation of the health service and cuts under the Conservative government."
0 days 00:01:58,0 days 00:02:04,SPEAKER 1, But the attacks were blunted by Mr Johnson's promise of more cash and new more hospitals.
0 days 00:02:04,0 days 00:02:10,SPEAKER 1, So where does this leave the campaign? This is really the beginning of the 2019 general election campaign.
0 days 00:02:10,0 days 00:02:14,SPEAKER 1, It's been rather slow so far with not much movement from either side.
0 days 00:02:14,0 days 00:02:23,SPEAKER 1, But Boris Johnson is a clear 10-15 points ahead from Jeremy Corbyn and the Labour leader needed to get some momentum tonight and he didn't find it.
0 days 00:02:23,0 days 00:02:32,SPEAKER 1," He didn't score any blows, he didn't get any big applause so in the matter of this campaign it feels like Boris Johnson might have just about emerged on top."
