Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:03,SPEAKER 2, Let's meet tonight's part of panel. We've got former criminal defense attorney and Fox News
0 days 00:00:03,0 days 00:00:08,SPEAKER 2, contributor. Emily Compagno is here along with the one and only Richard Fowler host of the Richard
0 days 00:00:08,0 days 00:00:13,SPEAKER 2," Fowler show, also a Fox News contributor. And from Reason Magazine, where he serves as editor at"
0 days 00:00:13,0 days 00:00:19,SPEAKER 2," large and award-winning host of the fifth column podcast, it is Matt Welch. Welcome, everyone."
0 days 00:00:20,0 days 00:00:26,SPEAKER 2, So much to discuss. Let's start with Liz. Because it was Biden that everyone was supposedly going to go
0 days 00:00:26,0 days 00:00:32,SPEAKER 2, after and he definitely took some shots in debates two and three. But now Liz is the big threat. How
0 days 00:00:32,0 days 00:00:36,SPEAKER 2, should the other candidates handle her? Should they all go after her? I think whether they should
0 days 00:00:36,0 days 00:00:41,SPEAKER 1," or not, they absolutely will. And they need to because she's been the only one like showing any kind"
0 days 00:00:41,0 days 00:00:45,SPEAKER 1, of momentum anywhere. Biden still sort of in more or less the same place. Other people are
0 days 00:00:45,0 days 00:00:51,SPEAKER 1," are down. They should go after. And the way that I think that they will, based on how they have behaved"
0 days 00:00:51,0 days 00:00:56,SPEAKER 1," so far, particularly the former centrists who are running. So like Cory Booker,"
0 days 00:00:56,0 days 00:01:01,SPEAKER 1," walking Castro, and Beto O'Rourke, all of whom have the positions in the past that are not"
0 days 00:01:01,0 days 00:01:05,SPEAKER 1," super progressive actually. They like, you know, charter schools and things like that. At least they did."
0 days 00:01:05,0 days 00:01:10,SPEAKER 1," They did, right? And they're trying to hide all this. Now they're hypocritical gums. They are saying"
0 days 00:01:10,0 days 00:01:14,SPEAKER 1," whatever it takes for progressives to like them. They're terrified. And so what they know what they say,"
0 days 00:01:14,0 days 00:01:19,SPEAKER 1," they're trying to hide that past by trying to outwoke what another. So walking Castro is like,"
0 days 00:01:19,0 days 00:01:23,SPEAKER 1," you know, Bernie is, he's not even hard to corner. He's not for slavery reparations. I am."
0 days 00:01:23,0 days 00:01:28,SPEAKER 1," Beto O'Rourke is a one man get out the vote like a team for the Republican party. He just every day,"
0 days 00:01:28,0 days 00:01:34,SPEAKER 1, I'll take your gun. And I'm going to. I'm going to touch your church based on viewpoint discrimination.
0 days 00:01:34,0 days 00:01:39,SPEAKER 1," So I think those are the people who are more, more likely to go after Elizabeth Warren where she's"
0 days 00:01:39,0 days 00:01:44,SPEAKER 1," weak, which is with black voters, specifically and with the whole Native American thing, which loves"
0 days 00:01:44,0 days 00:01:48,SPEAKER 2, people the wrong. Okay. So we finally saw Bernie and Liz on the same stage. But it's been an interesting
0 days 00:01:48,0 days 00:01:54,SPEAKER 2, dynamic with them because they have been pretty much in lockstep because they both need the other
0 days 00:01:54,0 days 00:01:59,SPEAKER 2, supporters. They cannot afford to alienate them. But Bernie made the shift. What do you chalk that up
0 days 00:01:59,0 days 00:02:06,SPEAKER 2, to? He's trying to get back into the race since he's now seen as being wounded in terms of his
0 days 00:02:06,0 days 00:02:12,SPEAKER 2, health. Or is this one they make the big split and he tries to elbow her out and hurt her front
0 days 00:02:12,0 days 00:02:15,SPEAKER 1," runner status? I think they're burnt. If you talk to Bernie supporters, they will all tell you that"
