Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:04,SPEAKER 2," Here live in Cleveland, you're set to speak tomorrow night and again, all I want to do"
0 days 00:00:04,0 days 00:00:05,SPEAKER 2, is have a conversation.
0 days 00:00:05,0 days 00:00:09,SPEAKER 2, I can't have a conversation with you if we're both talking at the same time.
0 days 00:00:09,0 days 00:00:14,SPEAKER 2, What it sounds like to me is that you're accusing me of violence and supporting something
0 days 00:00:14,0 days 00:00:16,SPEAKER 2, a narrative that I'm not necessarily in support of.
0 days 00:00:16,0 days 00:00:20,SPEAKER 2," And if that's what you're accusing me of violence and you can lead, that's not true."
0 days 00:00:20,0 days 00:00:23,SPEAKER 2, I don't support violence of any type against police officers against anyone.
0 days 00:00:23,0 days 00:00:26,SPEAKER 2," So if you're accusing me of that, then you're welcome to lead."
0 days 00:00:26,0 days 00:00:30,SPEAKER 2," But if you want to have a conversation, I am more than willing to welcome a conversation"
0 days 00:00:30,0 days 00:00:31,SPEAKER 2, with you.
0 days 00:00:31,0 days 00:00:34,SPEAKER 2, I don't disagree with you about there is a narrative across the country that could be
0 days 00:00:34,0 days 00:00:40,SPEAKER 2," harming police officers, but we don't know right now as it's someone who's in law enforcement"
0 days 00:00:40,0 days 00:00:42,SPEAKER 2, if that was the actual cause of it.
0 days 00:00:42,0 days 00:00:44,SPEAKER 1, Let me ask you this.
0 days 00:00:44,0 days 00:00:51,SPEAKER 1, Do we know that generally the American law enforcement officers are racist?
0 days 00:00:51,0 days 00:00:55,SPEAKER 1, Do we know this?
0 days 00:00:55,0 days 00:00:56,SPEAKER 2, Go on.
0 days 00:00:56,0 days 00:00:58,SPEAKER 2, I asked a question.
0 days 00:00:58,0 days 00:01:01,SPEAKER 2, Do I know American general law enforcement are racist?
0 days 00:01:01,0 days 00:01:05,SPEAKER 2, I don't think anyone is accusing if you're insinuating that people are accusing or saying
0 days 00:01:05,0 days 00:01:09,SPEAKER 2," that law enforcement across this country as a whole are racist, then your assumption is"
0 days 00:01:09,0 days 00:01:10,SPEAKER 2, wrong.
0 days 00:01:10,0 days 00:01:16,SPEAKER 1," First of all, this whole anti-police rhetoric is based on a lie."
0 days 00:01:16,0 days 00:01:18,SPEAKER 1, There is no data.
0 days 00:01:18,0 days 00:01:19,SPEAKER 1, And you know this.
0 days 00:01:19,0 days 00:01:20,SPEAKER 1, There is no data.
0 days 00:01:20,0 days 00:01:24,SPEAKER 1, There is no research that proves any of that nonsense.
0 days 00:01:24,0 days 00:01:25,SPEAKER 1, None.
0 days 00:01:26,0 days 00:01:31,SPEAKER 2, You'd have to be more specific about what data and what nonsense you're talking about.
0 days 00:01:31,0 days 00:01:39,SPEAKER 1, That law enforcement officers treat black males different than white males in policing and
0 days 00:01:39,0 days 00:01:40,SPEAKER 2, these are racist.
0 days 00:01:40,0 days 00:01:41,SPEAKER 1, There is data.
0 days 00:01:41,0 days 00:01:42,SPEAKER 1, That's a point.
0 days 00:01:42,0 days 00:01:44,SPEAKER 2, There is not data.
0 days 00:01:44,0 days 00:01:45,SPEAKER 2, No.
0 days 00:01:45,0 days 00:01:50,SPEAKER 2," The president spoke about it, Cedric Alexander who has been lying about it."
0 days 00:01:50,0 days 00:01:56,SPEAKER 1, He said it again the other day when he said black males are two times more likely to be
0 days 00:01:56,0 days 00:01:59,SPEAKER 1," shot by a law enforcement officer than white male, Don."
0 days 00:01:59,0 days 00:02:02,SPEAKER 1, That is a lie.
0 days 00:02:02,0 days 00:02:03,SPEAKER 2, That is not a lie.
0 days 00:02:03,0 days 00:02:04,SPEAKER 1, It is a lie.
0 days 00:02:04,0 days 00:02:05,SPEAKER 2, Show me.
0 days 00:02:05,0 days 00:02:06,SPEAKER 2, Yes.
0 days 00:02:06,0 days 00:02:11,SPEAKER 2, Show me the research that we have that we have from the Washington Post that the Washington
0 days 00:02:11,0 days 00:02:12,SPEAKER 1, Post studied.
0 days 00:02:12,0 days 00:02:13,SPEAKER 1, The bomb that nonsense.
0 days 00:02:13,0 days 00:02:14,SPEAKER 2, It's also racist.
0 days 00:02:14,0 days 00:02:15,SPEAKER 1, He also said this time.
0 days 00:02:15,0 days 00:02:16,SPEAKER 2, There's also research.
0 days 00:02:16,0 days 00:02:24,SPEAKER 2, He continues a Harvard professor that also showed that black people are treated more aggressively
0 days 00:02:24,0 days 00:02:25,SPEAKER 2, by police officers.
0 days 00:02:25,0 days 00:02:26,SPEAKER 1," No, you are wrong."
0 days 00:02:26,0 days 00:02:31,SPEAKER 1, And your interpretation of that Harvard study because I read the study.
0 days 00:02:31,0 days 00:02:32,SPEAKER 1, That's not what he said.
0 days 00:02:32,0 days 00:02:40,SPEAKER 2, He said he was surprised to find that in shootings of the most severe in shootings that he found
0 days 00:02:40,0 days 00:02:42,SPEAKER 2, no evidence that there was a difference.
0 days 00:02:42,0 days 00:02:47,SPEAKER 2, So it should be noted that that study was a very small sampling of police departments
0 days 00:02:47,0 days 00:02:48,SPEAKER 2, across the country.
0 days 00:02:48,0 days 00:02:53,SPEAKER 2," Many people did not find it credible, but it is also interesting that in that research"
0 days 00:02:53,0 days 00:02:59,SPEAKER 2," he found that blacks were treated differently when it came to aggressive policing, but for"
0 days 00:02:59,0 days 00:03:02,SPEAKER 2, the most egregious shootings he found no difference.
0 days 00:03:02,0 days 00:03:03,SPEAKER 2, That's what that study said.
0 days 00:03:03,0 days 00:03:04,SPEAKER 1," Well, based on what?"
0 days 00:03:04,0 days 00:03:08,SPEAKER 1," Just generally, are we talking about high crime areas, are we talking about police officers"
0 days 00:03:08,0 days 00:03:10,SPEAKER 1, being under attack?
0 days 00:03:10,0 days 00:03:13,SPEAKER 1," Because let's go back to where this whole thing started in Ferguson, Missouri."
0 days 00:03:13,0 days 00:03:14,SPEAKER 1, Sure.
0 days 00:03:14,0 days 00:03:17,SPEAKER 2, Why was hands up don't lumping a whole bunch of things into one thing?
