Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:05,SPEAKER 1, White House is pushing legislation that would cut the number of legal immigrants allowed
0 days 00:00:05,0 days 00:00:10,SPEAKER 1, into the United States in half and reshape how people come to live in this country.
0 days 00:00:10,0 days 00:00:15,SPEAKER 1," The bill, introduced by Republican senators Tom Cotton and David Perdue, would replace"
0 days 00:00:15,0 days 00:00:21,SPEAKER 1," the current lottery system for issuing green cards with a merit-based system, favoring"
0 days 00:00:21,0 days 00:00:26,SPEAKER 1, those who speak English and who have higher-level job skills.
0 days 00:00:26,0 days 00:00:31,SPEAKER 1," The number of green cards issued every year would go from just over a million to about 500,000."
0 days 00:00:31,0 days 00:00:37,SPEAKER 1, The White House had senior policy advisors Steven Miller explain the proposal at yesterday's
0 days 00:00:37,0 days 00:00:42,SPEAKER 1," press briefing and when it was time for questions, things got heated."
0 days 00:00:42,0 days 00:00:47,SPEAKER 2, But this whole notion of well they have to learn English before they get to the United
0 days 00:00:47,0 days 00:00:51,SPEAKER 2," States, are we just going to bring in people from Great Britain and Australia?"
0 days 00:00:51,0 days 00:00:57,SPEAKER 1," As actually, I honestly say, I am shocked at your statement that you think that only"
0 days 00:00:57,0 days 00:01:02,SPEAKER 1," people from Great Britain and Australia would know English is actually, it reveals your"
0 days 00:01:02,0 days 00:01:09,SPEAKER 1," cosmopolitan bias to a shocking degree that in your mind, no, this is an amazing, this"
0 days 00:01:09,0 days 00:01:10,SPEAKER 1, is an amazing moment today.
0 days 00:01:10,0 days 00:01:15,SPEAKER 2, It's like you're trying to engineer the racial and ethnic flow of people into this country.
0 days 00:01:15,0 days 00:01:20,SPEAKER 1," Yes, that is one of the most outrageous, insulting, ignorant and foolish things you've ever said"
0 days 00:01:20,0 days 00:01:27,SPEAKER 1," and for you that's still a really, the notion that you think that this is a racist bill"
0 days 00:01:27,0 days 00:01:29,SPEAKER 1, is so wrong and so insulting.
0 days 00:01:29,0 days 00:01:33,SPEAKER 2, The President claims that the bill is going to reduce poverty and increase wages and we'll
0 days 00:01:33,0 days 00:01:34,SPEAKER 2, get to that in a little bit.
0 days 00:01:34,0 days 00:01:40,SPEAKER 2," But Tim, what we should take away from what happened yesterday, other than saying, why don't"
0 days 00:01:40,0 days 00:01:42,SPEAKER 2, we get cameras out of the press room?
0 days 00:01:42,0 days 00:01:47,SPEAKER 1," Yes, it was a very spirited debate between two very spirited ideologues on the issue of immigration"
0 days 00:01:47,0 days 00:01:51,SPEAKER 1, and one of those very spirited ideologues happened to be a supposedly objective news reporter
0 days 00:01:51,0 days 00:01:52,SPEAKER 1, for CNN.
0 days 00:01:52,0 days 00:01:59,SPEAKER 1," Jim Acosta, I thought both of them were too rude and too personal, but this is how we got"
0 days 00:01:59,0 days 00:02:00,SPEAKER 1, Trump.
0 days 00:02:00,0 days 00:02:02,SPEAKER 1, This is why people hate the press.
0 days 00:02:02,0 days 00:02:06,SPEAKER 1," Acosta going in there and saying that because of Emma Lazarus' poem, it's un-American to"
0 days 00:02:06,0 days 00:02:09,SPEAKER 1, require immigrants to speak English.
0 days 00:02:09,0 days 00:02:12,SPEAKER 1, Forget about how Steve Miller's got personal and obnoxious there.
0 days 00:02:12,0 days 00:02:16,SPEAKER 1, The fact is that Acosta's putting out an argument that very few people hold.
0 days 00:02:16,0 days 00:02:21,SPEAKER 1," He's putting it out sort of obnoxiously and Miller's standing up there, knows immigration"
0 days 00:02:21,0 days 00:02:24,SPEAKER 1, policy much better than any reporter I know.
0 days 00:02:24,0 days 00:02:28,SPEAKER 1," And so I just thought it was a horror, let me put it this way, Stephen Miller could have"
0 days 00:02:28,0 days 00:02:29,SPEAKER 1, done better.
0 days 00:02:29,0 days 00:02:31,SPEAKER 1, Acosta could not have done worse.
0 days 00:02:31,0 days 00:02:33,SPEAKER 1," John, John Norris yesterday."
0 days 00:02:33,0 days 00:02:44,SPEAKER 2," I forget your exact tweet but it was something like, Jim Acosta is doing so horrifically today"
0 days 00:02:44,0 days 00:02:46,SPEAKER 2, that I can't believe I agree with him.
0 days 00:02:46,0 days 00:02:54,SPEAKER 1," No, it was something like, I agree with Jim Acosta and he's destroying his own argument"
0 days 00:02:54,0 days 00:02:55,SPEAKER 1, with his comportement.
0 days 00:02:55,0 days 00:02:56,SPEAKER 2, So what did you mean?
0 days 00:02:56,0 days 00:02:57,SPEAKER 2, What did you mean?
0 days 00:02:57,0 days 00:03:04,SPEAKER 1," What I mean is that like I tend to, you know, I'm a grandson of immigrants."
0 days 00:03:04,0 days 00:03:10,SPEAKER 1, I find it very hard to take a restrictionist policy because if my grandparents hadn't come
0 days 00:03:10,0 days 00:03:13,SPEAKER 1," in, they would have been murdered by the Nazis."
0 days 00:03:13,0 days 00:03:23,SPEAKER 1," And so it's discomforting to me, but having a reporter, Yammer at a White House official"
0 days 00:03:23,0 days 00:03:29,SPEAKER 1," by quoting Emma Lazarus's poem at the base of the Statue of Liberty is, oh, that's the"
0 days 00:03:29,0 days 00:03:34,SPEAKER 1," basis for policy, something written in 1883 and we're living in 2017."
0 days 00:03:34,0 days 00:03:36,SPEAKER 1," And like, keeping going, that was part of it."
0 days 00:03:36,0 days 00:03:37,SPEAKER 1, It was so obnoxious.
0 days 00:03:37,0 days 00:03:43,SPEAKER 1," Like, you know what, I'll constate, no, no, Miller's obnoxiousness, you just showed, which"
0 days 00:03:43,0 days 00:03:46,SPEAKER 1, was him saying you're ignorant and stupid and foolish.
0 days 00:03:46,0 days 00:03:54,SPEAKER 1," That wasn't the moment that Acosta, I think, went into terrible territory was, he was like"
0 days 00:03:54,0 days 00:04:01,SPEAKER 1," lecturing Miller quoting a poem that he doesn't know, so he was reading it from his notebook."
0 days 00:04:01,0 days 00:04:08,SPEAKER 1," As though he were, as though this were like a debate between him and a public official as"
0 days 00:04:08,0 days 00:04:12,SPEAKER 1, opposed to being a journalist who was trying to tease out the difficulties and problems with
0 days 00:04:12,0 days 00:04:15,SPEAKER 1," the proposal, which would have been perfectly fine."
0 days 00:04:15,0 days 00:04:16,SPEAKER 1, I will.
0 days 00:04:16,0 days 00:04:22,SPEAKER 1," If you asked him a substantive question about restriction in English and how, you know, immigrants,"
0 days 00:04:22,0 days 00:04:26,SPEAKER 1," many people, studies show that an immigrant can learn English in six months."
0 days 00:04:26,0 days 00:04:28,SPEAKER 1," And Jim Acosta, should meet someone from Jamaica."
0 days 00:04:28,0 days 00:04:29,SPEAKER 1," I mean, I'm from New York."
0 days 00:04:29,0 days 00:04:31,SPEAKER 1," I know lots of people from Ghana, from foreign countries that speak English."
0 days 00:04:31,0 days 00:04:36,SPEAKER 1," I know one point five billion people on earth that is said, 1.5 billion speaking English."
