Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:06,SPEAKER 1," John, I was driving after we left that gas station, we were driving on a major street,"
0 days 00:00:06,0 days 00:00:12,SPEAKER 1," major highway in Ash Dode, not far from the border with Gaza, and all of a sudden we"
0 days 00:00:12,0 days 00:00:16,SPEAKER 1," heard the sirens, and you know what they do, cars immediately stop right in the middle"
0 days 00:00:16,0 days 00:00:20,SPEAKER 1," of the street, everyone gets out of their cars, the doors are open, and they run towards the"
0 days 00:00:20,0 days 00:00:25,SPEAKER 1," closest bunker, the air aid shelters, which are all over the place, especially this close"
0 days 00:00:25,0 days 00:00:31,SPEAKER 1," to Gaza, you run in, you get inside a bunker, you wait at least five minutes, maybe 10 minutes,"
0 days 00:00:31,0 days 00:00:35,SPEAKER 1," for an all clear, and then you go back to your vehicle, the doors are wide open, everyone"
0 days 00:00:35,0 days 00:00:41,SPEAKER 1," gets back in, and they leave, so it's a pretty tense situation, I must say, especially the"
0 days 00:00:41,0 days 00:00:45,SPEAKER 1," closer you get to Gaza, in this area where I am right now, it's very, very close."
0 days 00:00:45,0 days 00:00:48,SPEAKER 2," What a possible, it's just one second so we can hear these sirens."
