Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:09,SPEAKER 1," Welcome to The Real News Network, I'm Jessica DeVero and ball tomorrow."
0 days 00:00:09,0 days 00:00:15,SPEAKER 1, The Syrian refugee crisis is dominating headlines after now more than 30 governors publicly
0 days 00:00:15,0 days 00:00:22,SPEAKER 1, asked for the resettlement of Syrian refugees to stop until security concerns can be addressed.
0 days 00:00:22,0 days 00:00:27,SPEAKER 1, Also the House passed a bill with both Republican and Democratic support to suspend President
0 days 00:00:27,0 days 00:00:34,SPEAKER 1," Obama's program to emit 10,000 Syrian refugees in the next year and then intensify screening."
0 days 00:00:34,0 days 00:00:38,SPEAKER 1, The narrative around the refugee crisis is mostly around fear.
0 days 00:00:38,0 days 00:00:41,SPEAKER 1, Let's take a look at what some lawmakers are saying.
0 days 00:00:41,0 days 00:00:42,SPEAKER 1, Why should we take one of these people?
0 days 00:00:42,0 days 00:00:47,SPEAKER 1," Well, you know, this is one of the reasons I opposed Rubio's bill originally on the immigration"
0 days 00:00:47,0 days 00:00:52,SPEAKER 1, because I didn't think there's enough scrutiny for those who might come and attack us.
0 days 00:00:52,0 days 00:00:56,SPEAKER 1," In the little town I live in in Kentucky, two refugees came from Iraq and they tried to buy"
0 days 00:00:56,0 days 00:00:58,SPEAKER 1, stinger missiles to attack us with.
0 days 00:00:58,0 days 00:01:03,SPEAKER 1," So yeah, the refugee program has needed more scrutiny for a long time."
0 days 00:01:03,0 days 00:01:08,SPEAKER 1, What I'm saying is Syrian Muslim refugees should be resettled in the Middle East in majority
0 days 00:01:08,0 days 00:01:09,SPEAKER 1, Muslim countries.
0 days 00:01:09,0 days 00:01:14,SPEAKER 1," Now joining us to put this all into context is our guest, Vijay Prashad."
0 days 00:01:14,0 days 00:01:16,SPEAKER 1, He's a professor of international studies at Trinity College.
0 days 00:01:16,0 days 00:01:18,SPEAKER 1," Thanks so much for joining us, Vijay."
0 days 00:01:18,0 days 00:01:20,SPEAKER 2, Pleasure.
0 days 00:01:20,0 days 00:01:23,SPEAKER 1," So Vijay, what do you think are the main points missing in the conversation when we talk"
0 days 00:01:23,0 days 00:01:27,SPEAKER 1, about the Syrian refugee crisis?
0 days 00:01:27,0 days 00:01:28,SPEAKER 2, What can you say?
0 days 00:01:28,0 days 00:01:34,SPEAKER 2," I mean, look, the fact is that in about 20 years or 30 years, a historian is going to look"
0 days 00:01:34,0 days 00:01:41,SPEAKER 2," back at the events of these last few weeks and is going to judge Washington, I think, you"
0 days 00:01:41,0 days 00:01:43,SPEAKER 2," know, very poorly."
0 days 00:01:43,0 days 00:01:49,SPEAKER 2, It's a national shame that these governors and so many politicians have been fear-mongering
0 days 00:01:49,0 days 00:01:58,SPEAKER 2, about people who are essentially fleeing from chaos and war and have been sitting in refugee
0 days 00:01:58,0 days 00:02:05,SPEAKER 2," camps for years being scrutinized by the United Nations, relief organization, by the State"
0 days 00:02:05,0 days 00:02:12,SPEAKER 2," Department, by various entities, before they get in this very short queue of 10,000 people"
0 days 00:02:12,0 days 00:02:17,SPEAKER 2," to come to the United States, half the population of Syria has displaced."
0 days 00:02:17,0 days 00:02:21,SPEAKER 2," There are millions of refugees in camps in Lebanon, in Jordan, in Turkey."
0 days 00:02:21,0 days 00:02:25,SPEAKER 2, There are refugees from Syria and camps in Egypt.
0 days 00:02:25,0 days 00:02:30,SPEAKER 2," There are even, believe it or not, Syrian refugees in Iraq, you know, given that there are Iraqi"
