Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:04,SPEAKER 2," Mr. Masry, did you spit on a police officer?"
0 days 00:00:04,0 days 00:00:05,SPEAKER 1, No.
0 days 00:00:05,0 days 00:00:06,SPEAKER 1," No, I didn't."
0 days 00:00:06,0 days 00:00:09,SPEAKER 1," That was an expression that we used in Arabs, you know what I'm saying?"
0 days 00:00:09,0 days 00:00:12,SPEAKER 1," Basically, it's just a sound of me spitting."
0 days 00:00:12,0 days 00:00:14,SPEAKER 1, That's not what I was actually doing.
0 days 00:00:14,0 days 00:00:16,SPEAKER 2, You've been charged with spitting on a police officer.
0 days 00:00:16,0 days 00:00:17,SPEAKER 2, Am I right?
0 days 00:00:17,0 days 00:00:21,SPEAKER 1," Yeah, they believe videos and they believe Twitter trolls before they actually look at evidence,"
0 days 00:00:21,0 days 00:00:23,SPEAKER 1, but that'll get thrown out of court.
0 days 00:00:23,0 days 00:00:24,SPEAKER 1, That's cultural background.
0 days 00:00:24,0 days 00:00:29,SPEAKER 2, But do you think you're helping the situation if that's the behavior in which you're involved?
0 days 00:00:29,0 days 00:00:31,SPEAKER 1," Well, you know what?"
0 days 00:00:31,0 days 00:00:34,SPEAKER 1, I don't think we should be looking at citizens about how they react towards their public servants.
0 days 00:00:34,0 days 00:00:36,SPEAKER 1, It should be the other way around.
0 days 00:00:36,0 days 00:00:39,SPEAKER 1," Now, what you saw right there was reality TV."
0 days 00:00:39,0 days 00:00:42,SPEAKER 1, People are pissed off about how they're getting treated in the streets and how people are getting killed.
0 days 00:00:42,0 days 00:00:45,SPEAKER 1, They should be looking at that besides our reaction.
0 days 00:00:45,0 days 00:00:46,SPEAKER 1, We have a right to be made.
0 days 00:00:46,0 days 00:00:47,SPEAKER 1, Our anger is justified.
0 days 00:00:47,0 days 00:00:54,SPEAKER 1, So any other narrative besides that is just people getting off the subject of justice for Vandera Myers and Mike Brown.
0 days 00:00:54,0 days 00:00:55,SPEAKER 1," Other than that, I mean, there's no-"
0 days 00:00:55,0 days 00:00:56,SPEAKER 1, I don't buy-
0 days 00:00:57,0 days 00:00:59,SPEAKER 2, I'm going to tell you who else I don't think-
0 days 00:00:59,0 days 00:01:01,SPEAKER 1," Well, I don't think you don't buy into it or not, you know what I'm saying?"
0 days 00:01:01,0 days 00:01:02,SPEAKER 1, Because this is our community.
0 days 00:01:02,0 days 00:01:03,SPEAKER 1, Let me tell you-
0 days 00:01:03,0 days 00:01:04,SPEAKER 1, Let me tell you-
0 days 00:01:04,0 days 00:01:05,SPEAKER 1, Let me tell you-
0 days 00:01:05,0 days 00:01:09,SPEAKER 2," Let me tell you who else I think doesn't buy into it, and that's Michael Brown's father."
0 days 00:01:09,0 days 00:01:10,SPEAKER 2," Oh, I'd like to show you-"
0 days 00:01:10,0 days 00:01:15,SPEAKER 2," I'd like to show you, or at least allow you to listen to what he's had to say about the situation."
0 days 00:01:15,0 days 00:01:17,SPEAKER 2, Roll that tape.
0 days 00:01:17,0 days 00:01:23,SPEAKER 1, I thank you for lifting your voices to Ian Racial Profiler and Police Determination.
0 days 00:01:23,0 days 00:01:27,SPEAKER 1, But hurting others or destroying property is not to ask.
0 days 00:01:27,0 days 00:01:33,SPEAKER 1," No matter what the grand jury decides, I do not want my son to be in vain."
0 days 00:01:33,0 days 00:01:36,SPEAKER 2, Mr. Brown has made a plea for calm.
0 days 00:01:36,0 days 00:01:38,SPEAKER 2, The president has made a plea for calm.
0 days 00:01:38,0 days 00:01:40,SPEAKER 2, Eric Holder has made a plea for calm.
0 days 00:01:40,0 days 00:01:44,SPEAKER 2," And you're taunting police officers by calling them cowards, pigs, bitches."
0 days 00:01:44,0 days 00:01:46,SPEAKER 2," And quote unquote, I'm praying for your death."
0 days 00:01:46,0 days 00:01:50,SPEAKER 2, Aren't you contradicting with those three gentlemen of all asked for?
0 days 00:01:50,0 days 00:01:52,SPEAKER 1," Well, that was October 9th."
0 days 00:01:52,0 days 00:01:54,SPEAKER 1," You know, and ever since then, I've been very calm."
0 days 00:01:54,0 days 00:02:00,SPEAKER 1," You know, I'm saying that was just three, four minutes of me being a little bit emotional after they just killed somebody."
0 days 00:02:00,0 days 00:02:03,SPEAKER 1," So yeah, maybe they're taking that a little bit out of context."
0 days 00:02:03,0 days 00:02:04,SPEAKER 1, I respect Mr. Brown.
0 days 00:02:04,0 days 00:02:06,SPEAKER 1, It ain't going to be no violence.
0 days 00:02:06,0 days 00:02:08,SPEAKER 1, We're taking de-escalation courses.
0 days 00:02:08,0 days 00:02:09,SPEAKER 1, We've been doing our part.
0 days 00:02:09,0 days 00:02:12,SPEAKER 1," Anytime there's anything that goes on, the police have agitated it."
0 days 00:02:12,0 days 00:02:15,SPEAKER 1, They're going to have to learn how to police us.
0 days 00:02:15,0 days 00:02:17,SPEAKER 1, We don't have to learn how to conform to them.
0 days 00:02:17,0 days 00:02:19,SPEAKER 1, They serve us. We don't serve them.
0 days 00:02:19,0 days 00:02:24,SPEAKER 1, I don't know what people get about this where we have to bow down to police to everything that they say.
0 days 00:02:24,0 days 00:02:28,SPEAKER 1," We got freedom of speech in this country, and I can push it to the limit any which way I choose."
0 days 00:02:28,0 days 00:02:33,SPEAKER 2," If the police can't, you can't run into a theater and shout fire either."
0 days 00:02:33,0 days 00:02:36,SPEAKER 2, There are limits even on free speech. You can't defame someone.
0 days 00:02:36,0 days 00:02:37,SPEAKER 1, I have a proposal for you.
0 days 00:02:37,0 days 00:02:39,SPEAKER 1," You know what, there's also limit on gun violence too."
0 days 00:02:39,0 days 00:02:41,SPEAKER 1, There's also limit on police killing people.
0 days 00:02:41,0 days 00:02:42,SPEAKER 2," Mr. Massey, I've got an idea for you."
0 days 00:02:42,0 days 00:02:44,SPEAKER 1, We're not here for anything or what people got to say.
0 days 00:02:44,0 days 00:02:45,SPEAKER 2," I have an idea for you, sir."
0 days 00:02:45,0 days 00:02:47,SPEAKER 1, People are getting killed behind this.
0 days 00:02:47,0 days 00:02:49,SPEAKER 1," There's blood on the street, and you're worried about words."
0 days 00:02:49,0 days 00:02:50,SPEAKER 1," Come on, man."
0 days 00:02:50,0 days 00:02:51,SPEAKER 2, I have an idea for you.
0 days 00:02:51,0 days 00:02:52,SPEAKER 1, I'm a journalist from Michigan right now.
0 days 00:02:52,0 days 00:02:54,SPEAKER 1, Why don't you go investigate something real?
0 days 00:02:54,0 days 00:02:56,SPEAKER 1, Why don't you go investigate something real?
0 days 00:02:56,0 days 00:02:58,SPEAKER 1, I spoke my mind.
0 days 00:02:58,0 days 00:02:59,SPEAKER 1, I'm a citizen.
0 days 00:02:59,0 days 00:03:01,SPEAKER 1, Why don't you worry about us getting killed?
0 days 00:03:01,0 days 00:03:04,SPEAKER 1," The warrants, the extortion."
0 days 00:03:04,0 days 00:03:07,SPEAKER 1, The limits on the extortion they put on us.
0 days 00:03:07,0 days 00:03:08,SPEAKER 1," Do you worry about that, Michael?"
0 days 00:03:08,0 days 00:03:10,SPEAKER 1," No, you don't worry about what I said."
0 days 00:03:10,0 days 00:03:11,SPEAKER 1, I'm worried about facts.
0 days 00:03:11,0 days 00:03:12,SPEAKER 2, I don't worry about facts too.
0 days 00:03:12,0 days 00:03:13,SPEAKER 1, Listen to you.
0 days 00:03:13,0 days 00:03:14,SPEAKER 2, Listen to you.
0 days 00:03:14,0 days 00:03:15,SPEAKER 1, I've been sentenced to my thoughts.
0 days 00:03:15,0 days 00:03:16,SPEAKER 1, I've been sentenced to my thoughts.
0 days 00:03:16,0 days 00:03:17,SPEAKER 2, I've been sentenced to my thoughts.
0 days 00:03:17,0 days 00:03:18,SPEAKER 1, Please let me finish my thoughts.
0 days 00:03:18,0 days 00:03:19,SPEAKER 2, I'm listening to you.
0 days 00:03:19,0 days 00:03:20,SPEAKER 2, Please let me finish my thoughts.
0 days 00:03:20,0 days 00:03:21,SPEAKER 2, I'm listening to you.
0 days 00:03:21,0 days 00:03:22,SPEAKER 2, Please let me finish my thoughts.
0 days 00:03:22,0 days 00:03:23,SPEAKER 2, Please let me finish my thoughts.
0 days 00:03:23,0 days 00:03:24,SPEAKER 2, Please let me finish my thoughts.
0 days 00:03:24,0 days 00:03:25,SPEAKER 2, Please let me finish my thoughts.
0 days 00:03:25,0 days 00:03:26,SPEAKER 2, Please let me finish my thoughts.
0 days 00:03:26,0 days 00:03:27,SPEAKER 2, Please let me finish my thoughts.
0 days 00:03:27,0 days 00:03:28,SPEAKER 2, Please let me finish my thoughts.
0 days 00:03:28,0 days 00:03:29,SPEAKER 2, Please let me finish my thoughts.
0 days 00:03:29,0 days 00:03:30,SPEAKER 2, Please let me finish my thoughts.
0 days 00:03:30,0 days 00:03:31,SPEAKER 2, Please let me finish my thoughts.
0 days 00:03:31,0 days 00:03:32,SPEAKER 2, Please let me finish my thoughts.
0 days 00:03:32,0 days 00:03:33,SPEAKER 2, Please let me finish my thoughts.
0 days 00:03:33,0 days 00:03:34,SPEAKER 2, Please let me finish my thoughts.
0 days 00:03:34,0 days 00:03:35,SPEAKER 2, Please let me finish my thoughts.
0 days 00:03:35,0 days 00:03:36,SPEAKER 2, Please let me finish my thoughts.
0 days 00:03:36,0 days 00:03:37,SPEAKER 2, Please let me finish my thoughts.
0 days 00:03:37,0 days 00:03:40,SPEAKER 1, be. Doesn't that seem like the more prudent course you know what you can plan
0 days 00:03:40,0 days 00:03:43,SPEAKER 1, you can plan your own reaction however you want you can't tell our
0 days 00:03:43,0 days 00:03:47,SPEAKER 1, community how we gonna react you know I'm saying this is our community we're
0 days 00:03:47,0 days 00:03:51,SPEAKER 1, going to do what we feel now like I've been saying we gonna be peaceful we've
0 days 00:03:51,0 days 00:03:54,SPEAKER 1, been taking de-escalation courses we've been getting training you know I'm saying
0 days 00:03:54,0 days 00:03:58,SPEAKER 1, so ain't gonna be no violence y'all are the one that are hyping this up and making
0 days 00:03:58,0 days 00:04:01,SPEAKER 1, it something that is not over a few statements that I said over a month and a
0 days 00:04:01,0 days 00:04:05,SPEAKER 1, half ago three minutes of me being out of line y'all want to characterize me as
0 days 00:04:05,0 days 00:04:09,SPEAKER 1, some kind of demon and that's on y'all I don't really care I'm living here
0 days 00:04:09,0 days 00:04:16,SPEAKER 1, what I'm saying sir what I'm saying is there's more I'm gonna give you my
0 days 00:04:16,0 days 00:04:19,SPEAKER 2, final thought and then you could give me yours there's more unknown in this
0 days 00:04:19,0 days 00:04:24,SPEAKER 2, case than there is known I don't know how you could be rooting for an outcome when
0 days 00:04:24,0 days 00:04:28,SPEAKER 2, you don't know the evidence that was presented to the grand jury in this case I
0 days 00:04:28,0 days 00:04:33,SPEAKER 1, know this I know this that Darren Wilson shot six extra times and he had to he
