Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:06,SPEAKER 1," Funding for New Mexico and Focus, provided by the McEun Charitable Foundation and viewers"
0 days 00:00:06,0 days 00:00:08,SPEAKER 1, like you.
0 days 00:00:08,0 days 00:00:13,SPEAKER 2," This week on New Mexico and Focus, the plan to give Albuquerque voters campaigns spending"
0 days 00:00:13,0 days 00:00:15,SPEAKER 2, vouchers.
0 days 00:00:15,0 days 00:00:21,SPEAKER 1, This will not assist that heroic individual figure that they portray.
0 days 00:00:21,0 days 00:00:25,SPEAKER 1," It's sort of levels the playing field between these corporate, these corporate funded candidates."
0 days 00:00:26,0 days 00:00:32,SPEAKER 2, And the final high school assessment test for New Mexico students will also be a college entrance exam.
0 days 00:00:34,0 days 00:00:35,SPEAKER 2, New Mexico and Focus starts now.
0 days 00:00:39,0 days 00:00:42,SPEAKER 2," Thanks for joining us this week. I'm your host, Gene Grant."
0 days 00:00:42,0 days 00:00:47,SPEAKER 2," Considering the national trends, we shouldn't be surprised that UNM faculty recently voted for"
0 days 00:00:47,0 days 00:00:52,SPEAKER 2, a unionization. The most unionized workers in New Mexico are primarily public employees.
0 days 00:00:52,0 days 00:00:54,SPEAKER 2, How does the UNM vote impact the landscape?
0 days 00:00:54,0 days 00:00:58,SPEAKER 2, The line digs in. A number of Democrats are not seeking re-election in our
0 days 00:00:58,0 days 00:01:02,SPEAKER 2, state house and the progressive wing of the state senate is seemingly losing patience with the
0 days 00:01:02,0 days 00:01:06,SPEAKER 2, more conservative end of the party. We'll work through the stakes.
0 days 00:01:06,0 days 00:01:10,SPEAKER 2," Now, when President Trump visited New Mexico in September, he made a point of trying to"
0 days 00:01:10,0 days 00:01:14,SPEAKER 2, woo Hispanic voters. We'll hear from the national president of the Mexican American Legal
0 days 00:01:14,0 days 00:01:20,SPEAKER 2," Defense and Education Fund. But first, the line and the new standard for assessing New Mexico students."
