Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:05,SPEAKER 2, The Democratic Party is putting its far-left agenda on full display last night during
0 days 00:00:05,0 days 00:00:08,SPEAKER 2, the second round of presidential debates.
0 days 00:00:08,0 days 00:00:16,SPEAKER 1," The healthcare in my view is a human right, and we have got to pass a Medicare for all"
0 days 00:00:16,0 days 00:00:17,SPEAKER 1, single-payer system.
0 days 00:00:17,0 days 00:00:23,SPEAKER 1, Who here would abolish their private health insurance in favor of a government-run plan?
0 days 00:00:23,0 days 00:00:30,SPEAKER 1, Raise your hand if your government plan would provide coverage for undocumented.
0 days 00:00:30,0 days 00:00:38,SPEAKER 1," You cannot let people who are sick, no matter where they come from, no matter what their"
0 days 00:00:38,0 days 00:00:40,SPEAKER 1," status, go uncovered."
0 days 00:00:40,0 days 00:00:41,SPEAKER 1, You can't do that.
0 days 00:00:41,0 days 00:00:43,SPEAKER 1, I will release children from cages.
0 days 00:00:43,0 days 00:00:46,SPEAKER 1, I will get rid of the private detention centers.
0 days 00:00:46,0 days 00:00:51,SPEAKER 1, Raise your hand if you think it should be a civil offense rather than a crime across the
0 days 00:00:51,0 days 00:00:54,SPEAKER 1, border without documentation.
0 days 00:00:54,0 days 00:01:01,SPEAKER 1," Yes, someone is here without documents, and that is their only offense."
0 days 00:01:01,0 days 00:01:03,SPEAKER 1, Is that person to be deported?
0 days 00:01:03,0 days 00:01:04,SPEAKER 1, No.
0 days 00:01:04,0 days 00:01:08,SPEAKER 1, That person can be a part of this great American experience.
0 days 00:01:08,0 days 00:01:11,SPEAKER 1, I don't even call a climate change as a climate crisis.
0 days 00:01:11,0 days 00:01:14,SPEAKER 1, The old ways are no longer relevant.
0 days 00:01:14,0 days 00:01:20,SPEAKER 1, The scientists tell us we have 12 years before there is a reputable damage to this planet.
0 days 00:01:20,0 days 00:01:21,SPEAKER 1, This is a global issue.
0 days 00:01:21,0 days 00:01:27,SPEAKER 2, The 2020 contenders facing criticism from both sides for isolating the majority of voters
0 days 00:01:27,0 days 00:01:32,SPEAKER 2," with their slate of progressive policies, leaving many to declare President Trump as the winner."
0 days 00:01:32,0 days 00:01:38,SPEAKER 2," Check out this headline from NBC News, the winner of the first Democratic debate, Donald Trump."
0 days 00:01:38,0 days 00:01:43,SPEAKER 2," And here's the New York Post, headlines slamming Democrats with this cover who wants to lose"
0 days 00:01:43,0 days 00:01:45,SPEAKER 2, the election.
0 days 00:01:45,0 days 00:01:48,SPEAKER 2, Even Trump's harshest critics are dismayed at the performances.
0 days 00:01:48,0 days 00:01:53,SPEAKER 2," Like for example, David Brooks, who said this in a New York Times op-ed, the party seems"
0 days 00:01:53,0 days 00:01:58,SPEAKER 2," to think it can win without any of the 35% of us in the moderate camp, the ones who actually"
0 days 00:01:58,0 days 00:02:03,SPEAKER 2," delivered the 2018 midterm win, the progressive narrative is dominating in part because"
0 days 00:02:03,0 days 00:02:09,SPEAKER 2," progressives these days have a direct and forceful story to tell, and no interest in compromising"
0 days 00:02:09,0 days 00:02:10,SPEAKER 2, it.
0 days 00:02:10,0 days 00:02:15,SPEAKER 2, It's dominating because no moderate wants to bear the brunt of progressive fury by opposing
