Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:03,SPEAKER 1," My argument, build more prisons, we need to have a consequence."
0 days 00:00:03,0 days 00:00:05,SPEAKER 1, We also need to...
0 days 00:00:07,0 days 00:00:12,SPEAKER 1, Not work. I've grown up in some of these communities
0 days 00:00:12,0 days 00:00:13,SPEAKER 1, that you guys are talking about.
0 days 00:00:13,0 days 00:00:15,SPEAKER 1, And prison is not a deterrent.
0 days 00:00:15,0 days 00:00:18,SPEAKER 1," If you don't change the environment, you won't change anything."
0 days 00:00:18,0 days 00:00:20,SPEAKER 1, And that's the key thing.
0 days 00:00:20,0 days 00:00:22,SPEAKER 1, You don't change the environment.
0 days 00:00:22,0 days 00:00:24,SPEAKER 1," This has been happening for years, okay?"
0 days 00:00:24,0 days 00:00:29,SPEAKER 1," Years, yeah. And it's not always in the media, but it won't change."
0 days 00:00:29,0 days 00:00:30,SPEAKER 1, You need to...
0 days 00:00:30,0 days 00:00:31,SPEAKER 1, A massive place for you to take it.
0 days 00:00:31,0 days 00:00:32,SPEAKER 1, It's going to take several things together.
0 days 00:00:32,0 days 00:00:35,SPEAKER 1," Yes, policing is one thing, but at the end of the day,"
0 days 00:00:35,0 days 00:00:37,SPEAKER 1," all of you guys on that side, you've benefited, yeah?"
0 days 00:00:37,0 days 00:00:40,SPEAKER 1," From the environment that you've grown up in, okay?"
0 days 00:00:40,0 days 00:00:42,SPEAKER 1, You've benefited from being in this work environment.
0 days 00:00:42,0 days 00:00:44,SPEAKER 1, I've benefited from it.
0 days 00:00:44,0 days 00:00:47,SPEAKER 1," But these boys, not all of them, get to benefit from the environment."
0 days 00:00:47,0 days 00:00:50,SPEAKER 1," If we don't show them something else, you won't change it."
0 days 00:00:51,0 days 00:00:54,SPEAKER 2," I was sat there in a way actually getting enraged,"
0 days 00:00:54,0 days 00:00:58,SPEAKER 2," because it's quite hard for me as, you know,"
0 days 00:00:58,0 days 00:01:01,SPEAKER 2, as a mixed race person that has grown up in some of the areas
0 days 00:01:01,0 days 00:01:05,SPEAKER 2," that these boys come from, just to sit back and say nothing."
0 days 00:01:05,0 days 00:01:07,SPEAKER 2, It's easy to point the finger
0 days 00:01:07,0 days 00:01:10,SPEAKER 2, when you've not actually lived that life
0 days 00:01:10,0 days 00:01:13,SPEAKER 2," just throwing, stopping, search out there"
0 days 00:01:13,0 days 00:01:15,SPEAKER 2, as a way to fix it all.
0 days 00:01:15,0 days 00:01:16,SPEAKER 2, It's not the answer.
0 days 00:01:16,0 days 00:01:19,SPEAKER 2, What we see in the media is the end result.
0 days 00:01:19,0 days 00:01:23,SPEAKER 2," You don't see that person, that young boy,"
0 days 00:01:23,0 days 00:01:25,SPEAKER 2, that young black boy as a child.
0 days 00:01:25,0 days 00:01:26,SPEAKER 2, It's like the media.
0 days 00:01:26,0 days 00:01:31,SPEAKER 2, We have a responsibility to portray
0 days 00:01:31,0 days 00:01:34,SPEAKER 2," these stories correctly, you know,"
0 days 00:01:34,0 days 00:01:36,SPEAKER 2, it's important to balance them
0 days 00:01:36,0 days 00:01:40,SPEAKER 2," and to also, you know, show the role models that are out there"
0 days 00:01:40,0 days 00:01:43,SPEAKER 2," because there's hundreds of young black boys,"
0 days 00:01:43,0 days 00:01:48,SPEAKER 2, young black men that are positive role models in their community.
0 days 00:01:48,0 days 00:01:51,SPEAKER 2," But whenever we have these debates on television,"
0 days 00:01:51,0 days 00:01:55,SPEAKER 2, you often find that the people that are being debated
0 days 00:01:56,0 days 00:01:59,SPEAKER 2, aren't always represented on the program.
0 days 00:01:59,0 days 00:02:01,SPEAKER 2," In hindsight, it would be lovely"
0 days 00:02:01,0 days 00:02:05,SPEAKER 2, to have someone from the community come on
0 days 00:02:05,0 days 00:02:07,SPEAKER 2, and balance the argument
0 days 00:02:07,0 days 00:02:09,SPEAKER 2, and actually talk from experience.
0 days 00:02:09,0 days 00:02:11,SPEAKER 2," For me as a mixed race person, you know,"
0 days 00:02:11,0 days 00:02:12,SPEAKER 2," my dad's black, you know,"
0 days 00:02:12,0 days 00:02:15,SPEAKER 2, I feel very connected with my community.
0 days 00:02:15,0 days 00:02:18,SPEAKER 2," I can't just sit back and not say anything, you know."
0 days 00:02:18,0 days 00:02:21,SPEAKER 2," That's what I had to shout across the studio floor,"
0 days 00:02:21,0 days 00:02:25,SPEAKER 2, especially when they were talking about building more prisons.
0 days 00:02:25,0 days 00:02:27,SPEAKER 2, Prison isn't the answer.
0 days 00:02:27,0 days 00:02:30,SPEAKER 2," I've spoken to young boys, young men"
0 days 00:02:30,0 days 00:02:33,SPEAKER 2," that say that prison is not a deterrent,"
0 days 00:02:33,0 days 00:02:36,SPEAKER 2, they're not scared of going to prison.
0 days 00:02:36,0 days 00:02:40,SPEAKER 2, Don't put these boys into prison if you can help it.
0 days 00:02:40,0 days 00:02:41,SPEAKER 2, That's what I say.
0 days 00:02:41,0 days 00:02:42,SPEAKER 2," Teach them something else,"
0 days 00:02:42,0 days 00:02:43,SPEAKER 2, show them a different way
0 days 00:02:43,0 days 00:02:47,SPEAKER 2," because often that's when you lose young boys,"
0 days 00:02:47,0 days 00:02:50,SPEAKER 2," you know, into the system forever."
0 days 00:02:50,0 days 00:02:51,SPEAKER 2," You know, they go into prison often"
0 days 00:02:51,0 days 00:02:53,SPEAKER 2, for doing something quite petty
0 days 00:02:53,0 days 00:02:57,SPEAKER 2, and then they join up with other like-minded people
0 days 00:02:57,0 days 00:03:01,SPEAKER 2, that give them other ways in which they can commit crime.
