Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:04,SPEAKER 2, The President Trump's re-election campaign is suing CNN for libel.
0 days 00:00:04,0 days 00:00:08,SPEAKER 2, This follows similar lawsuits against the New York Times and the Washington Post.
0 days 00:00:08,0 days 00:00:10,SPEAKER 2, All three suits targeting opinion pieces.
0 days 00:00:10,0 days 00:00:13,SPEAKER 2, But some legal experts say the moves are off base.
0 days 00:00:13,0 days 00:00:19,SPEAKER 2," Jenna Ellis, Trump 2020 senior legal advisor, constitutional law attorney, joins us."
0 days 00:00:19,0 days 00:00:23,SPEAKER 2," So Jenna, the complaint focuses on a CNN opinion story by a former federal election commission,"
0 days 00:00:23,0 days 00:00:29,SPEAKER 2," General Counsel Larry Noble, he wrote a piece titled, quote, soliciting, dirt on your opponents"
0 days 00:00:29,0 days 00:00:34,SPEAKER 2," from a foreign government is a crime, malicious of charge, Trump campaign officials with it."
0 days 00:00:34,0 days 00:00:37,SPEAKER 2, Why are you guys suing over this?
0 days 00:00:37,0 days 00:00:41,SPEAKER 1, Well we're suing CNN as well as the New York Times and Washington Post for false and
0 days 00:00:41,0 days 00:00:43,SPEAKER 1, defamatory statements.
0 days 00:00:43,0 days 00:00:48,SPEAKER 1, And CNN in particular claimed that the campaign had assessed the potential risks and benefits
0 days 00:00:48,0 days 00:00:53,SPEAKER 1, of again soliciting Russia's help in the 2020 election and decided to leave that option
0 days 00:00:53,0 days 00:00:54,SPEAKER 1, on the table.
0 days 00:00:54,0 days 00:00:58,SPEAKER 1, That is a false and defamatory statement that CNN knew at the time that it published the
0 days 00:00:58,0 days 00:00:59,SPEAKER 1, statement was false.
0 days 00:00:59,0 days 00:01:05,SPEAKER 1, There was an extensive record of the campaign disavowing and disclaiming any interactions
0 days 00:01:05,0 days 00:01:06,SPEAKER 1, of these sorts with Russia.
0 days 00:01:06,0 days 00:01:07,SPEAKER 1, Did they put that in the story?
0 days 00:01:07,0 days 00:01:10,SPEAKER 2, Did they put your side of the story any place?
0 days 00:01:10,0 days 00:01:11,SPEAKER 1, They didn't.
0 days 00:01:11,0 days 00:01:17,SPEAKER 1," And in fact, CNN, we reached out to CNN and asked them to retract and apologize and they declined"
0 days 00:01:17,0 days 00:01:18,SPEAKER 1, to and they refused.
0 days 00:01:18,0 days 00:01:24,SPEAKER 1, So the campaign has been left with no option but to file a lawsuit to get the public facts
0 days 00:01:24,0 days 00:01:28,SPEAKER 1, on the record and also to make sure that readers understand the truth.
0 days 00:01:28,0 days 00:01:33,SPEAKER 1, And to seek damages that are in the millions of dollars for these types of false statements.
0 days 00:01:33,0 days 00:01:36,SPEAKER 2," The Supreme Court, as you know, has said you need to show malicious intent that there were"
0 days 00:01:36,0 days 00:01:39,SPEAKER 2, false as a reckless disregard for the truth.
0 days 00:01:39,0 days 00:01:41,SPEAKER 2," I mean, it's an opinion piece."
0 days 00:01:41,0 days 00:01:43,SPEAKER 2, Critics would say it's supported by the First Amendment.
0 days 00:01:43,0 days 00:01:46,SPEAKER 2, Let me read you something from the Freedom Forum Institute.
0 days 00:01:46,0 days 00:01:48,SPEAKER 2," They say, quote, an opinion is not liable."
0 days 00:01:48,0 days 00:01:51,SPEAKER 2, Library refers to specific facts that can be proved untrue.
0 days 00:01:51,0 days 00:01:57,SPEAKER 2, A public figure has to prove the publisher of the false statements acted with actual mouse.
0 days 00:01:57,0 days 00:02:01,SPEAKER 2, It means the publisher either knew the statements or false or acted with the reckless disregard
0 days 00:02:01,0 days 00:02:03,SPEAKER 2, for whether they were false.
