Start,End,Speaker,Text
0 days 00:00:00,0 days 00:00:03,SPEAKER 2," What you're proposing, or what the President is proposing here, does not sound like it's"
0 days 00:00:03,0 days 00:00:07,SPEAKER 2, in keeping with American tradition when it comes to immigration.
0 days 00:00:07,0 days 00:00:11,SPEAKER 2," The Statue of Liberty says, give it your tired, your poor, your huddled masses, you're"
0 days 00:00:11,0 days 00:00:12,SPEAKER 2, in to read free.
0 days 00:00:12,0 days 00:00:19,SPEAKER 2, It doesn't say anything about speaking English or being able to be a computer programmer.
0 days 00:00:19,0 days 00:00:23,SPEAKER 2, Aren't you trying to change what it means to be an immigrant coming into this country
0 days 00:00:23,0 days 00:00:27,SPEAKER 2, if you're telling them you have to speak English?
0 days 00:00:27,0 days 00:00:30,SPEAKER 2, Can't people learn how to speak English when they get here?
0 days 00:00:30,0 days 00:00:35,SPEAKER 1," Well, first of all, right now, it's a requirement to be naturalized yet to speak English."
0 days 00:00:35,0 days 00:00:39,SPEAKER 1, So the notion that speaking English wouldn't be a part of immigration systems would be
0 days 00:00:39,0 days 00:00:40,SPEAKER 1, actually very A-historical.
0 days 00:00:40,0 days 00:00:45,SPEAKER 1," Secondly, I don't want to get off into a whole thing about history here, but the Statue"
0 days 00:00:45,0 days 00:00:49,SPEAKER 1," of Liberty is a symbol of liberty and lightening the world, is a symbol of American liberty"
0 days 00:00:49,0 days 00:00:50,SPEAKER 1, lighting the world.
0 days 00:00:50,0 days 00:00:54,SPEAKER 1, The poem that you're referring to that was added later is not actually part of the original
0 days 00:00:54,0 days 00:00:58,SPEAKER 1," Statue of Liberty, but more fundamentally the history, but more fundamentally the history"
0 days 00:00:58,0 days 00:00:59,SPEAKER 2, is not represented.
0 days 00:00:59,0 days 00:01:05,SPEAKER 1," I'm saying that the notion that I'm saying the notion that the, I'm saying the notion,"
0 days 00:01:05,0 days 00:01:06,SPEAKER 1, I'm sorry.
0 days 00:01:06,0 days 00:01:07,SPEAKER 1," No, that sounds like that."
0 days 00:01:07,0 days 00:01:08,SPEAKER 2," Jim, let me ask you a question."
0 days 00:01:08,0 days 00:01:09,SPEAKER 2, That sounds like some national park revisionism.
0 days 00:01:09,0 days 00:01:10,SPEAKER 2, No.
0 days 00:01:10,0 days 00:01:11,SPEAKER 1, The Statue of Liberty.
0 days 00:01:11,0 days 00:01:12,SPEAKER 2, The Statue of Liberty.
0 days 00:01:12,0 days 00:01:13,SPEAKER 1, Jim.
0 days 00:01:13,0 days 00:01:14,SPEAKER 1, Let me ask you a question.
0 days 00:01:14,0 days 00:01:15,SPEAKER 2, Let me ask you a question.
0 days 00:01:15,0 days 00:01:16,SPEAKER 1, Jim.
0 days 00:01:16,0 days 00:01:18,SPEAKER 2, Do you believe in people to this country?
0 days 00:01:18,0 days 00:01:19,SPEAKER 2, Jim.
0 days 00:01:19,0 days 00:01:20,SPEAKER 1, And they're not always going to speak English.
0 days 00:01:20,0 days 00:01:21,SPEAKER 2, Jim.
0 days 00:01:21,0 days 00:01:22,SPEAKER 2, Jim.
0 days 00:01:22,0 days 00:01:23,SPEAKER 2, Do you believe in people who are going to be highly skilled?
0 days 00:01:23,0 days 00:01:24,SPEAKER 1, They're not always going to speak English.
0 days 00:01:24,0 days 00:01:25,SPEAKER 1, Jim.
0 days 00:01:25,0 days 00:01:26,SPEAKER 1, Jim.
0 days 00:01:26,0 days 00:01:27,SPEAKER 1, Jim.
0 days 00:01:27,0 days 00:01:28,SPEAKER 1, Let's talk about this.
0 days 00:01:28,0 days 00:01:29,SPEAKER 2, Let's talk about this.
0 days 00:01:29,0 days 00:01:30,SPEAKER 1, Jim.
0 days 00:01:30,0 days 00:01:31,SPEAKER 1, Let's talk about this.
0 days 00:01:31,0 days 00:01:36,SPEAKER 1," In 1970, when we let in 300,000 people a year, was that violating or not violating the Statue"
0 days 00:01:36,0 days 00:01:39,SPEAKER 1, of Liberty Law of the Land?
0 days 00:01:39,0 days 00:01:44,SPEAKER 1," In the 1990s, when it was half a million a year, was it violating or not violating the Statue"
0 days 00:01:44,0 days 00:01:45,SPEAKER 1, of Liberty Law of the Land?
0 days 00:01:45,0 days 00:01:54,SPEAKER 1," When it was 700,000 years, tell me what years, tell me what years meet, tell me what years meet"
0 days 00:01:54,0 days 00:01:55,SPEAKER 1, Jim.
0 days 00:01:55,0 days 00:01:59,SPEAKER 1," Jim Acosta's definition of the Statue of Liberty, home law of the land."
0 days 00:01:59,0 days 00:02:03,SPEAKER 1, So you're saying a million a year is the Statue of Liberty number.
0 days 00:02:03,0 days 00:02:04,SPEAKER 1," 900,000 violates it."
0 days 00:02:04,0 days 00:02:05,SPEAKER 1," 800,000 violates it."
0 days 00:02:05,0 days 00:02:06,SPEAKER 2, Jim.
0 days 00:02:06,0 days 00:02:08,SPEAKER 2, You're sort of bringing in this one for English philosophy here.
0 days 00:02:08,0 days 00:02:09,SPEAKER 2, It's immigration.
0 days 00:02:09,0 days 00:02:10,SPEAKER 2, And that's number four.
0 days 00:02:10,0 days 00:02:11,SPEAKER 2, Jim.
0 days 00:02:11,0 days 00:02:12,SPEAKER 2, What the United States has been about.
0 days 00:02:12,0 days 00:02:13,SPEAKER 1, It's been about.
0 days 00:02:13,0 days 00:02:17,SPEAKER 1," But you're also, your statement's also shockingly a historical on another respect, too."
0 days 00:02:17,0 days 00:02:21,SPEAKER 1," Which is if you look at the history of immigration, it's actually ebbed and flowed."
0 days 00:02:21,0 days 00:02:24,SPEAKER 1, We've had periods of very large waves followed by periods of less immigration and more
0 days 00:02:24,0 days 00:02:25,SPEAKER 1, immigration.
0 days 00:02:25,0 days 00:02:32,SPEAKER 2," And during the period of immigration right now, it's actually about a sweeping change to"
0 days 00:02:32,0 days 00:02:33,SPEAKER 1, immigration.
0 days 00:02:33,0 days 00:02:37,SPEAKER 1," Surely, Jim, you don't actually think that a wall affects green card policy."
0 days 00:02:37,0 days 00:02:39,SPEAKER 1," You couldn't possibly believe that, do you?"
0 days 00:02:39,0 days 00:02:43,SPEAKER 1," Actually, the notion that you actually think immigration is at a historic law, the foreign"
0 days 00:02:43,0 days 00:02:46,SPEAKER 1," borne population in the United States today, Jim."
0 days 00:02:46,0 days 00:02:53,SPEAKER 1," Do you really, I want to be serious, Jim, do you really see an end not in the difference"
0 days 00:02:53,0 days 00:02:55,SPEAKER 1, between green card policy and illegal immigration?
0 days 00:02:55,0 days 00:02:57,SPEAKER 1," I mean, you really don't know that."
0 days 00:02:57,0 days 00:03:02,SPEAKER 2, He came to this country in 1962 right before the Cuban Missile Crisis and obtained a green
0 days 00:03:02,0 days 00:03:03,SPEAKER 2, card.
0 days 00:03:03,0 days 00:03:04,SPEAKER 2, Yes.
0 days 00:03:04,0 days 00:03:06,SPEAKER 2, People who immigrate to this country eventually.
0 days 00:03:06,0 days 00:03:09,SPEAKER 2," Jim, it's a factual question."
0 days 00:03:09,0 days 00:03:15,SPEAKER 2," Jim, as a factual question, do a, obtain a green card at some point."
0 days 00:03:15,0 days 00:03:17,SPEAKER 2, They do it through a lot of hard work.
0 days 00:03:17,0 days 00:03:21,SPEAKER 2," And yes, they may learn English as a second language later on in life."
0 days 00:03:21,0 days 00:03:25,SPEAKER 2," But this whole notion of while they can learn, you know, they have to learn English"
0 days 00:03:25,0 days 00:03:28,SPEAKER 2," before they get to the United States, are we just going to bring in people from Great Britain"
0 days 00:03:28,0 days 00:03:29,SPEAKER 2, and Australia?
0 days 00:03:29,0 days 00:03:36,SPEAKER 1," Jim, as actually, I honestly say, I am shocked at your statement that you think that only people"
0 days 00:03:36,0 days 00:03:39,SPEAKER 1, from Great Britain and Australia would know English.
0 days 00:03:39,0 days 00:03:46,SPEAKER 1," It's actually, it reveals your cosmopolitan bias to a shocking degree that in your mind,"
0 days 00:03:46,0 days 00:03:49,SPEAKER 1," no, this is an amazing, this is an amazing moment."
0 days 00:03:49,0 days 00:03:53,SPEAKER 1, This is an amazing moment that you think only people from Great Britain and Australia
0 days 00:03:53,0 days 00:03:59,SPEAKER 1, would speak English is so insulting to millions of hard working immigrants who do speak English
0 days 00:03:59,0 days 00:04:00,SPEAKER 1, from all over the world.
0 days 00:04:00,0 days 00:04:06,SPEAKER 1," Jim, have you honestly, Jim, have you honestly never met an immigrant from another country"
0 days 00:04:06,0 days 00:04:09,SPEAKER 1, who speaks English outside of Great Britain and Australia?
0 days 00:04:09,0 days 00:04:10,SPEAKER 1, Is that your personal experience?
0 days 00:04:10,0 days 00:04:12,SPEAKER 2, Of course there are people who come to this country.
0 days 00:04:12,0 days 00:04:13,SPEAKER 1, But that's not what you said.
0 days 00:04:13,0 days 00:04:15,SPEAKER 1," And it shows, it shows your cosmopolitan bias."
0 days 00:04:15,0 days 00:04:25,SPEAKER 1," And I just want to say, that is one of the most outrageous, insulting, ignorant, and foolish"
0 days 00:04:25,0 days 00:04:31,SPEAKER 1," things you've ever said, and for you that's still a really, the notion that you think that"
0 days 00:04:31,0 days 00:04:36,SPEAKER 1," this is a racist bill is so wrong and so insulting, Jim."
0 days 00:04:36,0 days 00:04:42,SPEAKER 1, The reality is that the foreign-born population into our country has quadrupled since 1970.
0 days 00:04:42,0 days 00:04:43,SPEAKER 1, That's a fact.
0 days 00:04:43,0 days 00:04:45,SPEAKER 1, It's been mostly driven by green card policy.
0 days 00:04:45,0 days 00:04:52,SPEAKER 1," Now, this bill allows for immediate nuclear family members to come into the country, much"
